ttl,total_len,protocol,t_delta,label
254,100,others,1e-05,analysis
254,100,others,5e-06,analysis
254,90,others,8e-06,analysis
254,100,pipe,4e-06,analysis
254,90,others,3e-06,analysis
254,90,others,6e-06,analysis
254,100,ipip,9e-06,analysis
254,100,others,5e-06,analysis
254,100,others,5e-06,analysis
254,100,others,9e-06,analysis
254,100,others,8e-06,analysis
254,100,others,8e-06,analysis
254,100,others,5e-06,analysis
254,100,others,8e-06,analysis
254,100,rdp,4e-06,analysis
254,100,micp,1.1e-05,analysis
254,100,crtp,3e-06,analysis
254,100,others,3e-06,analysis
254,100,snp,2e-06,analysis
254,100,vmtp,9e-06,analysis
62,219,tcp,1.2e-05,analysis
254,90,others,3e-06,analysis
62,238,tcp,9e-06,analysis
254,90,others,5e-06,analysis
254,100,others,8e-06,analysis
62,216,tcp,9e-06,analysis
254,100,others,9e-06,analysis
254,100,others,9e-06,analysis
254,100,others,7e-06,analysis
254,90,others,3e-06,analysis
254,100,others,9e-06,analysis
254,100,others,4e-06,analysis
254,100,etherip,9e-06,analysis
254,100,leaf-2,9e-06,analysis
254,100,others,1e-05,analysis
254,78,gre,6e-06,analysis
254,100,others,9e-06,analysis
254,100,others,1.1e-05,analysis
254,100,others,3e-06,analysis
254,100,ax.25,4e-06,analysis
254,100,others,8e-06,analysis
254,100,others,6e-06,analysis
254,100,others,6e-06,analysis
254,100,leaf-2,4e-06,analysis
254,100,gre,9e-06,analysis
254,100,ax.25,7e-06,analysis
254,100,snp,1e-06,analysis
254,100,others,8e-06,analysis
254,90,nvp,5e-06,analysis
254,100,others,8e-06,analysis
254,100,others,9e-06,analysis
254,52,sctp,4e-06,analysis
254,100,others,9e-06,analysis
254,100,sep,9e-06,analysis
254,100,others,4e-06,analysis
254,100,others,4e-06,analysis
254,100,others,4e-06,analysis
254,100,others,5e-06,analysis
62,224,tcp,3e-06,analysis
62,225,tcp,1.1e-05,analysis
254,100,others,4e-06,analysis
254,100,others,1e-05,analysis
254,100,others,5e-06,analysis
62,231,tcp,3e-06,analysis
254,100,others,8e-06,analysis
254,100,rdp,2e-06,analysis
254,100,others,9e-06,analysis
254,100,unas,9e-06,analysis
254,100,others,8e-06,analysis
254,100,others,3e-06,analysis
254,100,vmtp,8e-06,analysis
254,100,unas,3e-06,analysis
254,100,unas,1e-05,analysis
254,100,others,8e-06,analysis
254,90,others,3e-06,analysis
254,100,others,2e-06,analysis
254,100,others,9e-06,analysis
254,100,sctp,4e-06,analysis
254,100,others,1e-05,analysis
254,100,others,1e-06,analysis
254,100,others,2e-06,analysis
254,100,others,5e-06,analysis
254,90,others,8e-06,analysis
254,100,others,9e-06,analysis
254,100,others,8e-06,analysis
254,100,others,5e-06,analysis
254,100,others,9e-06,analysis
254,100,others,9e-06,analysis
254,100,others,1.1e-05,analysis
254,100,others,4e-06,analysis
254,100,others,8e-06,analysis
254,100,others,3e-06,analysis
254,100,others,4e-06,analysis
254,100,others,1e-06,analysis
254,100,others,7e-06,analysis
254,100,others,9e-06,analysis
254,100,pipe,8e-06,analysis
254,100,others,1e-06,analysis
254,100,others,7e-06,analysis
254,100,others,4e-06,analysis
254,100,others,8e-06,analysis
254,100,others,3e-06,analysis
254,90,others,3e-06,analysis
254,100,others,9e-06,analysis
254,100,others,9e-06,analysis
254,78,gre,8e-06,analysis
254,100,others,8e-06,analysis
254,100,others,3e-06,analysis
254,100,others,8e-06,analysis
254,100,others,8e-06,analysis
254,100,others,7e-06,analysis
254,90,others,3e-06,analysis
62,225,tcp,8e-06,analysis
254,100,others,7e-06,analysis
254,100,iplt,7e-06,analysis
254,100,others,8e-06,analysis
254,100,gmtp,8e-06,analysis
254,100,others,1e-05,analysis
254,90,others,9e-06,analysis
254,100,others,3e-06,analysis
254,100,others,1e-05,analysis
254,100,others,3e-06,analysis
254,100,others,3e-06,analysis
254,100,others,8e-06,analysis
254,90,others,4e-06,analysis
254,100,others,1e-06,analysis
254,100,others,6e-06,analysis
254,100,secure-vmtp,8e-06,analysis
254,100,sun-nd,6e-06,analysis
254,100,others,9e-06,analysis
254,100,others,3e-06,analysis
